Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
品名<BR>[BrandName]<<BR>>成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit],65,28,3,5,Cluster  5
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,35,38,1,5,Cluster  5
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有,35,38,1,5,Cluster  5
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName]を[Number][Unit]含有,35,38,6,5,Cluster  5
品名<BR>[BrandName]<<BR>>有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit],35,38,2,5,Cluster  5
品名<BR>[BrandName]<<BR>>有効成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]（[DrugParts][Number][Unit]）中[Number][Unit],91,40,2,5,Cluster  5
商品名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]）中<BR>[ActIngreName][Number][Unit],34,36,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分<BR>[ActIngreName]：[Number][Unit]<<BR>>熱量<BR>[Number][Unit],98,30,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分<BR>[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,35,38,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分分量<BR>[ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit][Number][Unit],65,28,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量<BR>[ActIngreName][Number][Unit],99,44,4,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],99,44,11,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],99,44,8,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]<<BR>>熱量<BR>[Number][Unit],99,44,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],99,44,4,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],99,44,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],99,44,10,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],99,44,6,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]（[ActIngreName]として[Number][Unit]）,99,44,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName][Number][Unit],98,30,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],98,30,50,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>[ActIngreName][Number][Unit]<<BR>>[ActIngreName][Number][Unit],98,30,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>[ActIngreName][Number][Unit]<<BR>>（[ActIngreName]として[Number][Unit]）,98,30,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]健康なブタの小腸粘膜に由来,98,30,7,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,98,30,5,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,98,30,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]として[Number][Unit]）,98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（抗第Ｘａ因子活性）,98,30,4,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number]＄,98,30,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit]（[Number][Unit]）,98,30,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]（[Formula]）[Number][Unit]<<BR>>[ActIngreName]（[Formula]）[Number][Unit]<<BR>>[ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit]<<BR>>[ActIngreName]（[Formula]）[Number][Unit],98,30,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],98,30,2,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],98,30,3,5,Cluster  5
容量<BR>[Number][Unit]<<BR>>組成含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],99,44,2,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],98,30,7,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,99,44,3,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]（[ActIngreShortName]）として[Number][Unit]）を含有する,99,44,1,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreShortName]として[Number][Unit]）を含有する,99,44,2,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Number][Unit],99,44,2,5,Cluster  5
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],99,44,2,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit][Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],98,30,4,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit],98,30,13,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,4,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,98,30,3,5,Cluster  5
容量<BR>[Number][Unit]（[Number][Unit]）<<BR>>[Number][Unit]中の有効成分<BR>[ActIngreName]として[Number][Unit]（[ActIngreName][Number][Unit]）,98,30,5,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]含量（[ActIngreName]として）<BR>[Number][Unit]（[Number][Unit]）,99,44,2,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit],99,44,1,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]含量（[Number][Unit]中）<BR>[Number][Unit],99,44,2,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[Number][Unit]中の[ActIngreName]含量<BR>[Number][Unit],99,44,2,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[Number][Unit]中の[ActIngreName]（[ActIngreName]として）含量<BR>[Number][Unit]（[Number][Unit]）,99,44,2,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][Number][Unit]中[ActIngreName][Number][Unit],99,44,1,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量<BR>（[Number][Unit]中）[ActIngreName][Number][Unit]含有（[Number][Unit]中）[ActIngreName][Number][Unit]含有,99,44,1,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量[Number][Unit]中<BR>[ActIngreName][Number][Unit]<<BR>>成分含量[Number][Unit]中<BR>[ActIngreName][Number][Unit],99,44,2,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],99,44,1,5,Cluster  5
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]<<BR>>（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],99,44,2,5,Cluster  5
容量（[Unit]）<BR>[Number]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,99,44,2,5,Cluster  5
容量（[Unit]）<BR>[Number]<<BR>>成分含量（[Unit]）（[Number][Unit]中）<BR>[ActIngreName][Number],99,44,8,5,Cluster  5
容量：<BR>[Number][Unit]<<BR>>有効成分：<BR>[ActIngreName][Number][Unit],98,30,1,5,Cluster  5
容量：[Number][Unit]成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]<<BR>>容量：[Number][Unit]成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit],99,44,3,5,Cluster  5
成人[Number][Unit]（[Number][Unit]）中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit],28,24,1,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>分量<BR>[Number][Unit]中[Number][Unit],65,28,1,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含有量（[ActIngreName]として）<BR>[Number][Unit]中：[Number][Unit][Number][Unit]中：[Number][Unit],20,22,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit],41,31,7,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]<<BR>>容量<BR>[Number][Unit],99,44,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit][Number][Unit]中[Number]＄,44,42,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[ActIngreName]として[Number][Unit],44,42,4,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit],44,42,33,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit]（[ActIngreName]として[Number][Unit]）,44,42,6,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit]（[Number][Unit]）,44,42,3,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>（[Number][Unit]中）[Number][Unit],44,42,9,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>（[Number][Unit]中）[Number][Unit]（[ActIngreName]として[Number][Unit]）,44,42,1,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量<BR>（[Number][Unit]中）[Number][Unit]（[ActIngreShortName]として[Number][Unit]）,44,42,3,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[ActIngreName]として[Number][Unit],44,42,3,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],44,42,27,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>容量（[Number][Unit]中）<BR>[Number][Unit],99,44,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>Ｎａ含有量<BR>[ActIngreName][Number][Unit]中Ｎａ[Number][Unit]（[Number][Unit]）を含有する,70,39,7,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit][ActIngreName]として[Number][Unit],44,42,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]（[ActIngreName]として[Number][Unit]）,44,42,3,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>（[ActIngreName]として）[Number][Unit],44,42,1,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）（[ActIngreName]として）<BR>[Number][Unit],44,42,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>含量［[Number][Unit]中］<BR>[Number][Unit],44,42,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>容量<BR>[Number][Unit]中[Number][Unit]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],99,44,2,5,Cluster  5
成分<BR>[ActIngreName]<<BR>>容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>含量<BR>[Number][Unit]中[Number][Unit][Number][Unit]中[Number][Unit],99,44,3,5,Cluster  5
成分<BR>[ActIngreName][ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],44,42,3,5,Cluster  5
成分<BR>[ActIngreName]（ヒト尿由来）<<BR>>含量<BR>[Number][Unit]中[ActIngreName]（[ActIngreShortName]）として[Number][Unit],44,42,4,5,Cluster  5
成分<BR>[ActIngreName]（ヒト尿由来）<<BR>>含量<BR>[Number][Unit]中[Number][Unit],44,42,3,5,Cluster  5
成分<BR>[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,35,38,2,5,Cluster  5
成分<BR>[Number][Unit]（[Number][Unit]）中<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],88,29,1,5,Cluster  5
成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[ActIngreName]<<BR>>[Number][Unit]中<BR>[Number][Unit]<<BR>>[Number][Unit]中<BR>[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[ActIngreName][Number][Unit]中[ActIngreName]として[Number][Unit],65,28,5,5,Cluster  5
成分分量<BR>[ActIngreName][Number][Unit]中[Number][Unit][Number][Unit]中[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[ActIngreName][Number][Unit]中に[ActIngreName]として[Number][Unit]相当量,65,28,1,5,Cluster  5
成分分量<BR>[ActIngreName][Number][Unit]（[Number][Unit]）<<BR>>なお,65,28,3,5,Cluster  5
成分分量<BR>[DrugParts][Number][Unit]（[Number][Unit]）中[ActIngreName]…[Number][Unit],65,28,2,5,Cluster  5
成分分量<BR>[DrugParts][Number][Unit]（[Number][Unit]）中[ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit],65,28,2,5,Cluster  5
成分分量<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中[ActIngreName]：[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,65,28,2,5,Cluster  5
成分分量<BR>[Number][Unit][Number][Unit]中[ActIngreName][Number][Unit],65,28,2,5,Cluster  5
成分分量<BR>[Number][Unit][Number][Unit]中[ActIngreName]…[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][ActIngreName][Number][Unit],65,28,2,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit],65,28,50,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,5,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,65,28,3,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,65,28,6,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]中[Number][Unit]）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]…[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit][ActIngreName]…[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]（[ActIngreName]）：[Number][Unit]（[Number][Unit]）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit],65,28,95,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit][DrugParts][ActIngreName][Number][Unit][DrugParts][ActIngreName][Number][Unit],65,28,2,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit]（[ActIngreName]として[Number][Unit]に相当）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit]（[ActIngreName]として[Number][Unit]）,65,28,8,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName]：[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中[ActIngreName]：[Number][Unit]（[ActIngreName]として：[Number][Unit]）,65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中センナ葉[Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]中：[ActIngreName]…[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]又は[Number][Unit]（[Number][Unit]）中（[Number][Unit]）[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],65,28,6,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]：[Number][Unit],65,28,11,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],65,28,1,5,Cluster  5
成分分量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]：[Number][Unit]（[ActIngreName]として[Number][Unit]）,65,28,1,5,Cluster  5
