Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
組成性状<BR>本剤は血漿に浮遊した血小板で患者のＨＬＡ型に適合する（供血者のリンパ球と患者の血清との交差試験に適合する）献血者から血[Form]成分採血により白血球の大部分を除去して採取した製剤である[Color]ないし[Color]の[Form]であり脂肪により混濁することがある本剤には血[Form]成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されている<<BR>>血[Form]保存[Form]（ＡＣＤ－[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,1,1,1,1,Cluster  1
組成性状<BR>本剤は血漿に浮遊した血小板で血[Form]成分採血により白血球の大部分を除去して採取した製剤である[Color]ないし[Color]の[Form]であり脂肪により混濁することがある本剤には血[Form]成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（ＡＣＤ－[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,1,1,1,1,Cluster  1
組成性状<BR>本剤は血漿に浮遊した血小板で血[Form]成分採血により白血球の大部分を除去して採取した製剤である[Color]ないし[Color]の[Form]であり脂肪により混濁することがある本剤には血[Form]成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されている<<BR>>血[Form]保存[Form]（ＡＣＤ－[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,1,1,1,1,Cluster  1
製法の概要<BR>本剤ははぶ毒で免疫したウマの血清を精製処理して得たはぶ抗毒素を凍結乾燥したものであるなお本剤は製造工程でブタの胃由来成分（ペプシン）を使用している<<BR>>組成<BR>本剤を添付の溶剤（[ActIngreName]）[Number][Unit]で溶解した[Form][Number][Unit]中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]）：[ActIngreName][Number][Unit]以上：[ActIngreName][Number][Unit]以上：[ActIngreName][Number][Unit]以上,4,7,1,3,Cluster  3
製法の概要<BR>本剤はまむし毒で免疫したウマの血清を精製処理して得たまむし抗毒素を凍結乾燥したものであるなお本剤は製造工程でブタの胃由来成分（ペプシン）を使用している<<BR>>組成<BR>本剤を添付の溶剤（[ActIngreName]）[Number][Unit]で溶解した[Form][Number][Unit]中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]）：[ActIngreName][Number][Unit]以上抗出血価[Number][Unit]以上,4,7,1,3,Cluster  3
製法の概要<BR>本剤はニワトリ胚初代培養細胞に馴化した狂犬病ウイルス（ＨＥＰＦｌｕｒｙ株）を伝染性の疾患に感染していない鶏群（ＳＰＦ鶏）から採取した発育鶏卵のニワトリ胚初代培養細胞で増殖させ得たウイルスを[ActIngreName]ープロピオラクトン[Number][Unit]で不活化し濃縮精製し安定剤を加え分注した後凍結乾燥したものである細胞の培養に用いる培養[Form]ＴＣＭ－[Number]には抗生物質として[Number][Unit]中[ActIngreName]を[Number][Unit]及び[ActIngreName]を[Number][Unit]含むまた着色剤として[ActIngreName]レッドを[Number][Unit]含有するなお本剤は製造工程でウシの血[Form]由来成分（血清）ウシの乳由来成分（[ActIngreName][ActIngreName]）ブタの膵臓由来成分（トリプシン）を使用している<<BR>>組成<BR>本剤を添付の溶剤（[ActIngreName]）全量で溶解した[Form][Number][Unit]中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]Ｄ[Number]以上（不活化前ウイルス量）,4,7,1,3,Cluster  3
製法の概要<BR>本剤はヒト型結核菌（青山Ｂ株）の培養を加熱殺菌し除菌ろ過しそのろ[Form]から結核感染者やＢＣＧ被接種者に特異的な皮膚反応を起こす活性物質を分離精製しこれを凍結乾燥して得た[Form]を[Number][Unit]乳糖[Form]に溶かして分注し凍結乾燥したものであるなお本剤は製造工程でニワトリの卵を使用している<<BR>>組成<BR>本剤は注射量[Number][Unit]中にそれぞれ次の成分及び分量を含有する<<BR>>有効成分分量<BR>[ActIngreName]（標準品相当量）[Number][Unit]相当量,4,7,2,3,Cluster  3
製法の概要<BR>本剤は破傷風菌（Ｈａｒｖａｒｄ株）を純培養した培養ろ[Form]中の毒素を塩析法及びイオン交換体法等によって精製後[ActIngreName]で無毒化したトキソイド[Form]を免疫原性を高めるために[ActIngreName]塩に吸着させ不溶性とした[Form]であるなお本剤は製造工程でウシの乳由来成分（ポリペプトンスキムミルク）心臓由来成分（ビーフハートインフュージョン）肝臓及び肉を使用している<<BR>>組成<BR>本剤は[Number][Unit]中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]以下（[Number][Unit]以上）,10,8,1,3,Cluster  3
製法の概要<BR>本剤は破傷風菌（Ｈａｒｖａｒｄ株）を純培養し得られた毒素[Form]を精製濃縮し[ActIngreName]を加えて無毒化したトキソイド[Form]に[ActIngreName]塩を加えて不溶性にし更に[ActIngreName]塩緩衝[ActIngreName][Form]を加えて希釈し規定濃度に調整した[Form]であるなお本剤は製造工程でウシの乳由来成分（ペプトンスキムミルク）及びウマの血[Form]由来成分（脱繊維素血[Form]）を使用している<<BR>>組成<BR>本剤は[Number][Unit]中に下記の成分分量を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]以下（[Number][Unit]以上）<<BR>>アジュバント<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],10,8,1,3,Cluster  3
製法の概要<BR>本剤は破傷風菌（Ｈａｒｖａｒｄ株）を純培養し得られた毒素[Form]を精製濃縮し[ActIngreName]を加えて無毒化したトキソイド[Form]に[ActIngreName]塩を加えて不溶性にし更に[ActIngreName]塩緩衝[ActIngreName][Form]を加えて希釈し規定濃度に調製した[Form]であるなお本剤は製造工程でウシの乳由来成分（スキムミルク）及び心臓由来成分（ハート[Form]）並びにブタの胃由来成分（ペプトン）を使用している<<BR>>組成<BR>本剤は[Number][Unit]中に次の成分分量を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]以下,10,8,1,3,Cluster  3
製法の概要<BR>本剤は破傷風菌（Ｈａｒｖａｒｄ株）を純培養し得られた毒素[Form]を精製濃縮し[ActIngreName]を加えて無毒化したトキソイド[Form]を規定濃度に希釈してから[ActIngreName]塩を加えてトキソイドを吸着させ調製したものである本剤は製造工程でヒトの毛髪由来成分（Ｌ[ActIngreName]）トリの羽毛由来成分（Ｌ[ActIngreName]）ウシの肝臓心臓肉乳由来成分（スキムミルクバクトカジトンカザミノアシド）を使用している<<BR>>組成<BR>本剤は[Number][Unit]（[Number][Unit]）中に次の成分及び分量を含有する<<BR>>有効成分<BR>[ActIngreName]約[Number][Unit],10,8,1,3,Cluster  3
製法の概要<BR>本剤は破傷風菌（ＨａｒｖａｒｄＡ－[Number]株）を純培養し得られた毒素[Form]を精製濃縮しかつ[ActIngreName]を加えて無毒化したトキソイド[Form]に[ActIngreName]塩を加えてトキソイドを不溶性にし[ActIngreName]塩緩衝[ActIngreName][Form]を加えて希釈し規定濃度に調製した[Form]であるなお本剤は製造工程でウシの乳由来成分（スキムミルクポリペプトン）ウシの肝臓ウシの肉ブタの胃由来成分（ペプトン）及びクジラの心臓由来成分（ハート[Form]）を使用している<<BR>>組成<BR>本剤は[Number][Unit]中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]以下（約[Number][Unit]）,10,8,1,3,Cluster  3
[BrandName][Number][Unit]中<<BR>>有効成分<BR>[ActIngreName][Number][Unit]注[Number]）採血国：米国採血の区別：非献血注[Number]）<<BR>>注[Number]）<BR>単位はファイバ単位を意味する[Number]ファイバ単位とは高の第ＶＩＩＩ因子インヒビター標準血漿のＡＰＴＴを空試験値の[Number][Unit]短縮するファイバ活性をいう<<BR>>注[Number]）<BR>「献血又は非献血の区別の考え方」の項を参照,11,14,2,4,Cluster  4
[BrandName]は[Number][Unit]中に下記成分分量を含有する[Form]で用時溶解して用いる<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]（遺伝子組換え）はヒト／マウスキメラ型モノクローナル抗体である[ActIngreName]（遺伝子組換え）の製造工程における培地成分としてウシ[ActIngreName]（膵臓）ウシ胎仔血清ヒト血清[ActIngreName]ヒトトランスフェリン（血[Form]）を使用している,17,10,2,4,Cluster  4
[BrandName]は[Number][Unit]中に次の成分を含有する<<BR>>有効成分含有量<BR>生きた[ActIngreName]（[Fomula]）[ActIngreName]（乾燥菌体重量として）[Number][Unit]<<BR>>また添付溶解[Form]は[Number][Unit]（[Number][Unit]）中に次の添加物を含有する,20,11,1,4,Cluster  4
[BrandName]は次の成分を含有する有効成分（[Number][Unit]中）：[ActIngreName]（[ActIngreName][Number]）[Number][Unit],20,11,1,4,Cluster  4
[Number][Unit]は下記の組合せよりなる．[Number][Unit]中<<BR>>名称<BR>[ActIngreName][Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<BR>有効成分：[ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>>名称<BR>[Form]調製用[ActIngreName][Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<<BR>>名称<BR>[Form]調製用緩衝[Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<<BR>>名称<BR>[Form][CaseName]<<BR>>容量：[Number][Unit]中の成分含量<BR>内容物を含まない無菌のガラス[CaseName]（[Number][Unit]）<<BR>>名称<BR>放射性医薬品基準[ActIngreName]（[Number]Ｉｎ）[Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<BR>有効成分：[ActIngreName]（[Number]Ｉｎ）：[Number][Unit]（検定日時）<<BR>>本品はチャイニーズハムスター卵巣細胞を用いて製造される．製造工程において培地成分として[ActIngreName]（遺伝子組換え）精製カラムの充填剤としてプロテインＡ（遺伝子組換え）を使用している．,17,10,1,4,Cluster  4
[Number][Unit]中<<BR>>有効成分<BR>[ActIngreName]アルファ（遺伝子組換え）[Number][Unit],20,11,4,4,Cluster  4
[Number][Unit]中[ActIngreName][Number][Unit]<<BR>>本剤の成分である「テクネチウム[ActIngreName]（生物由来製品指定成分名）」には[ActIngreName]（採取国：日本献血）が使用されている,11,14,1,4,Cluster  4
[Number][Unit]中の有効成分<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number]万[Number]国内標準単位<<BR>>注[Number]）製造工程においてウシの乳由来成分（ペプトン及びカザミノ酸）を使用している,17,10,1,4,Cluster  4
[Number][Unit]（[Number][Unit]）中[ActIngreName]（検定日時において）[Number][Unit][ActIngreName][Number][Unit]本剤の成分である[ActIngreName]には[ActIngreName]（採血国：日本献血）が使用されている,11,14,1,4,Cluster  4
[Number][Unit]（容量[Number][Unit]）中[ActIngreName][Number][Unit]<<BR>>本剤の成分である「[ActIngreName]（生物由来製品指定成分名）」には[ActIngreName]（採取国：日本献血）が使用されている,11,14,1,4,Cluster  4
[Number][Unit]（容量[Number][Unit]）中[ActIngreName]：[Number][Unit]（検定日時）<<BR>>本剤の成分である「[ActIngreName]（生物由来製品指定成分名）」には[ActIngreName]（採取国：日本献血）が使用されている,11,14,1,4,Cluster  4
成分分量（有効成分）<BR>（[Number][Unit]（[Number][Unit]）中）[ActIngreName][ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]<<BR>>注[Number]）チャイニーズハムスター卵巣細胞により産生本剤は製造工程においてウシ胎児由来の血清をまたセルバンク調製時にはウシすい臓由来の[ActIngreName]ウシ血清由来のトランスフェリン及びウシ胎児血清を使用している,17,10,1,4,Cluster  4
成分含有量（[Number][Unit]中）内容量<BR>[Number][Unit]<<BR>>成分含有量（[Number][Unit]中）有効成分<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造されるマスターセルバンク構築時にはウシの乳由来成分（[ActIngreName]）及びヒツジの毛由来成分（[ActIngreName]）を使用しているワーキングセルバンク構築時にはウシの乳由来成分（[ActIngreName]）を使用しているまた製造工程において培地成分としてウシの乳由来成分（[ActIngreName]）を使用している,17,10,3,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],20,11,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>添付溶解用[Form]<BR>[ActIngreName][Number][Unit]<<BR>>成分の[ActIngreName]は[ActIngreName]である（原料血[Form]採血国：日本採血方法：献血）また本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している,25,13,1,4,Cluster  4
成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],20,11,1,4,Cluster  4
成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number]万[Number]国内標準単位（ＪＲＵ）<<BR>>本剤は製造工程でウシ乳由来成分（バクトトリプトンカザミノ酸）及びブタ膵臓由来成分（[ActIngreName]）を使用している,17,10,3,4,Cluster  4
成分（[Number][Unit]（[Number][Unit]）中）有効成分含有量<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit]（[ActIngreName][ActIngreName]（遺伝子組換え）として）,20,11,2,4,Cluster  4
有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit],20,11,1,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit],20,11,5,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName]（結晶）[Number][Unit],20,11,1,4,Cluster  4
有効成分[ActIngreName][ActIngreName]（遺伝子組換え）<BR>[Number][Unit]中の含有量：[Number][Unit]「[ActIngreName]」[Number][Unit]に溶解した[Form][Number][Unit]中に含まれる量：[Number][Unit]<<BR>>本剤は上記成分を含む凍結乾燥品で,20,11,3,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）,11,14,1,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>[ActIngreName]含量は[Number][Unit]以下である．なお[ActIngreName]含量及び塩素含量の実測値は直接の容器及び外箱に表示してある．<<BR>>本剤は製造工程（不溶化ヘパリンによる吸着処理）でブタ小腸粘膜由来成分（ヘパリン）を使用している．,18,15,2,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>本剤は製造工程（不溶化ヘパリンによる吸着処理）でブタ小腸粘膜由来成分（ヘパリン）を使用している．,18,15,2,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>本剤は製造工程（精製工程）でマウスモノクローナル抗体（マウス培養細胞由来成分）ウサギ抗体（ウサギ血[Form]由来成分）を使用している．,11,14,2,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：米国採血の区別：非献血）,11,14,3,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName]含有[ActIngreName][ActIngreName]価[Number][Unit][Number][Unit]相当量<<BR>>備考<BR>[ActIngreName]含有[ActIngreName]は[ActIngreName]に由来する．（採血国：米国採血の区別：非献血）,11,14,1,4,Cluster  4
有効成分〔[Number][Unit]中〕<BR>[ActIngreName]（[ActIngreName]）として[Number][Unit][ActIngreName]（[ActIngreName]）として[Number][Unit]<<BR>>備考<BR>血[Form]凝固第ＶＩＩＩ因子は[ActIngreName]に由来する．（採血国：日本採血の区分：献血）[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区分：献血）,11,14,1,4,Cluster  4
有効成分〔[Number][Unit]中（[Number][Unit]）〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>[ActIngreName]含量は[Number][Unit]以下である．なお[ActIngreName]含量及び塩素含量の実測値は直接の容器及び外箱に表示してある．<<BR>>本剤は製造工程（不溶化ヘパリンによる吸着処理）でブタ小腸粘膜由来成分（ヘパリン）を使用している．,18,15,2,4,Cluster  4
有効成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）,11,14,4,4,Cluster  4
有効成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>[Number][Unit]は[Number][Unit]のヘモグロビンを結合する．本剤は製造工程（不溶化ヘパリンによる吸着処理）でブタ小腸粘膜由来成分（ヘパリン）を使用している．,18,15,1,4,Cluster  4
有効成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）<<BR>>各製剤ロットごとの麻しん抗体価を[CaseName]ラベルに表示している．,11,14,2,4,Cluster  4
有効成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]は[ActIngreName]に由来する．（採血国：米国採血の区別：非献血）,11,14,3,4,Cluster  4
有効成分〔[Number][Unit]（[Number][Unit]）中〕<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>本剤はピキア酵母により産生される．[ActIngreName]含量は[Number][Unit]以下である．なお[ActIngreName]含量及び塩素含量の実測値は直接の容器及び外箱に表示してある．,20,11,1,4,Cluster  4
有効成分及び含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>有効成分及び含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>本剤の有効成分はウサギ血[Form]由来成分である本剤の製造工程でウシ胎児血清及びウシ乳児血清で培養したヒト由来リンパ芽球（ＪＭ細胞株）ヒト胎盤ヒト赤血球を使用している,13,9,1,4,Cluster  4
有効成分（[Number][Unit]中）<BR>[ActIngreName][ActIngreName][Number][Unit]（備考：ヒトの線維芽細胞由来）<<BR>>本剤は製造工程でウシ血清及びブタの膵臓の抽出成分であるトリプシンを使用している,13,9,3,4,Cluster  4
有効成分（[Number][Unit]中）<BR>[ActIngreName][ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>>本剤は製造工程でウシの乳から得たカゼイン分解物のエヌゼットアミン及びウシの乳から得たカゼイン分解物のトリプトンを使用している<BR>本剤は上記成分を含む凍結乾燥品で,17,10,3,4,Cluster  4
有効成分（[Number][Unit]中）<BR>[ActIngreName]アルファ（[ActIngreName]）（遺伝子組換え）：[Number][Unit]有効成分[Number][Unit]は[Number][Fomula]Ｕに相当する,20,11,5,4,Cluster  4
有効成分（[Number][Unit]中）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]（[Number][Unit]）,20,11,3,4,Cluster  4
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量[Number][Unit]：[ActIngreName][Number][Unit]中の[ActIngreName]の[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>[Number][Unit]とは[ActIngreName][Number][Unit]に相当する[ActIngreName]本剤には,11,14,1,4,Cluster  4
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量[Number][Unit]：[Number][Unit]備考[ActIngreName]採血国：ドイツ採血の区分：献血採血国：米国採血の区分：非献血<<BR>>[ActIngreName]含量（[Number][Unit]以下）と塩素含量の実測値は外箱及びラベルに表示してある<<BR>>「献血又は非献血の区別の考え方」の項を参照,18,15,2,4,Cluster  4
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量[Number][Unit]：[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>[ActIngreName]含量と塩素含量の実測値は直接の容器及び外箱に表示してある本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している<<BR>>「献血又は非献血の区別の考え方」の項を参照,18,15,1,4,Cluster  4
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量[Number][Unit]：[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している「献血又は非献血の区別の考え方」の項を参照,18,15,1,4,Cluster  4
有効成分：[ActIngreName]<BR>[Number][Unit]中の分量[Number][Unit]：[Number][Unit]備考：[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>[Number][Unit]とは健康人血漿[Number][Unit]に相当するヒトＣ[Number]‐インアクチ[ActIngreName]ー活性本剤には,11,14,1,4,Cluster  4
有効成分：[Number][Unit]中の分量<BR>[ActIngreName]：[Number][Unit]備考：ウサギ血[Form]由来,20,11,1,4,Cluster  4
有効成分：[Number][Unit]（ストッパー付）[Number][Unit]中<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>><BR>マスターセルバンクとワーキングセルバンクの保存時の培地成分としてニュージーランド産ウシ胎仔血清並びにマスターセルバンクとワーキングセルバンクの調製及び保存時並びに細胞培養時の培地成分として米国産ウシ由来成分（血清[ActIngreName]）及びオーストラリア又はニュージーランド産ヒツジ由来[ActIngreName]を用いて製造されたものである,17,10,1,4,Cluster  4
本剤[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]）：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：米国採血方法：非献血）を原材料としている,6,12,2,4,Cluster  4
本剤[Number][Unit]中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：日本採血方法：献血）を原材料としているまた本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している,25,13,1,4,Cluster  4
本剤[Number][Unit]中（分量[Number][Unit]）の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：日本採血方法：献血）を原材料としているまた本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している[ActIngreName]含量と塩素含量の実測値は容器及び外箱に表示してある,25,13,3,4,Cluster  4
本剤[Number][Unit]（[Number][Unit]）中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：日本採血方法：献血）を原材料としているまた本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している,25,13,2,4,Cluster  4
本剤[Number][Unit]（[Number][Unit]）中下記成分を含む<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]採血国：米国採血の区別：非献血注[Number]）<<BR>>[ActIngreName]含量は[Number][Unit]（[Number][Unit]）以下なお[ActIngreName]含量と塩素含量の実測値は直接の容器及び組箱に表示<<BR>>注[Number]）「献血又は非献血の区別の考え方」の項を参照,18,15,2,4,Cluster  4
本剤[Number][Unit]（[Number][Unit]）中下記成分を含む<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]採血国：米国採血の区別：非献血注[Number]）<<BR>>注[Number]）「献血又は非献血の区別の考え方」の項を参照,11,14,1,4,Cluster  4
本剤は[ActIngreName]を含む[Form]で[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の主成分である[ActIngreName]は日本において採取された献血血[Form]を原料としているまた製造工程中においてブタ腸粘膜由来のヘパリンを使用している,25,13,2,4,Cluster  4
本剤は[ActIngreName]を含む[Form]で[Number][Unit]（[Number][Unit]製剤）中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName],20,11,6,4,Cluster  4
本剤は[Form][DrugParts]と溶解[Form]（[ActIngreName][CaseName]）からなる注射用[Form]製品である．<<BR>>[Number][Unit]中有効成分<BR>[ActIngreName]アルファ（遺伝子組換え）：[Number][Unit]<<BR>>本剤の培養工程の培地成分としてヒト血漿たん白[Form]（採血国：米国採血の区別：非献血）を使用している．［「献血又は非献血の区別の考え方」参照］,11,14,3,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>採血国：日本採血方法：献血,11,14,6,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（備考採血国：日本採血方法：献血）,11,14,2,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（備考採血国：日本採血方法：献血）<<BR>>[ActIngreName]含量及び塩素含量の実測値は[CaseName]ラベル及び個装箱に表示してある,18,15,4,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（備考採血国：日本採血方法：献血）<<BR>>本剤は製造工程の一部であるイムノアフィニティークロマトグラフィー工程でマウスモノクローナル抗体を固定化した樹脂を用いている,11,14,3,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分<BR>[ActIngreName][Number][Unit]（備考採血国：日本採血方法：献血）<<BR>>本剤は製造工程の一部であるイムノアフィニティークロマトグラフィー工程でマウスモノクローナル抗体を固定化した樹脂を用いているこのモノクローナル抗体を産生させるマウス[ActIngreName]ブリドーマ細胞株の培養培地成分としてヒトの血[Form]由来成分（ヒトトランスフェリン採血国：米国採血方法：非献血）ウシの血[Form]膵臓及び肝臓由来成分を使用している,13,9,3,4,Cluster  4
本剤は[Number][Unit]中に下記の成分を含む<<BR>>有効成分[Number][Unit]中（[Number][Unit]）<BR>[ActIngreName][Number][Unit]（備考採血国：日本採血方法：献血）<<BR>>[ActIngreName]含量及び塩素含量の実測値は[CaseName]ラベル及び個装箱に表示してある,18,15,2,4,Cluster  4
本剤は[Number][Unit]中に下記成分を含む別に,20,11,3,4,Cluster  4
本剤は[Number][Unit]中に下記成分分量を含有する[Form]であり<<BR>>本剤：有効成分<BR>成分：[ActIngreName][Number][Unit]中の分量：[Number][Unit]備考：[ActIngreName]採血国：ドイツ採血の区分：献血<<BR>>本剤は製造工程でブタの胃粘膜由来成分（ペプシン）を使用している<<BR>>「献血又は非献血の区別の考え方」の項を参照,18,15,1,4,Cluster  4
